N,max_err_K,method
7,0.00167595157003575,DQM-cheb
9,0.000335398301274381,DQM-cheb
11,0.000309383886076375,DQM-cheb
15,0.000285148048646988,DQM-cheb
21,0.0011089963094264,DQM-cheb
31,0.00102329865904949,DQM-cheb
7,0.0174672610033326,DQM-unif
9,0.000457855365198157,DQM-unif
11,0.000161831566771298,DQM-unif
15,0.000172288734887616,DQM-unif
21,0.000292123049746351,DQM-unif
31,0.000398881406653118,DQM-unif
11,0.132026872579353,FDM
21,0.031720847454018,FDM
41,0.00786951334558239,FDM
81,0.00195933446227059,FDM
161,0.00110323009312197,FDM
321,0.00110016940919877,FDM
11,0.0812551050787889,FEM-lin
21,0.0204361652839324,FEM-lin
41,0.00513625832871156,FEM-lin
81,0.00131443733835113,FEM-lin
161,0.00109708953229415,FEM-lin
321,0.00109864799006232,FEM-lin
11,0.00145598012767323,FEM-quad
21,0.000328170955981477,FEM-quad
41,0.000292140348392422,FEM-quad
81,0.000358912596226446,FEM-quad
161,0.00109915867690802,FEM-quad
